#       flow   flowType   src   dst            time         throughput

           0        tcp     5     0         1.04729            309.422
           0        tcp     5     0         2.05049            677.836
           0        tcp     5     0         3.05249             1293.4
           0        tcp     5     0          4.0545            1373.24
           0        tcp     5     0         5.06205            1373.62
           0        tcp     5     0         6.06525            1379.59
           0        tcp     5     0         7.06726            1373.24
           0        tcp     5     0         8.06926            1373.24
           0        tcp     5     0         9.07127            1373.24
           0        tcp     5     0         10.0745            1379.59
           0        tcp     5     0         11.0765            1373.24
           0        tcp     5     0         12.0785            1373.24
           0        tcp     5     0         13.0805            1373.24
           0        tcp     5     0         14.0837             1379.6
           0        tcp     5     0         15.0857            1373.24
           0        tcp     5     0         16.0877            1373.24
           0        tcp     5     0         17.0897            1373.24
           0        tcp     5     0         18.0973            1373.62
           0        tcp     5     0         19.1004            1379.59
           0        tcp     5     0         20.1025            1373.24
           0        tcp     5     0         21.1045            1373.24
           0        tcp     5     0         22.1065            1373.24
           0        tcp     5     0         23.1097            1379.59
           0        tcp     5     0         24.1117            1373.24
           0        tcp     5     0         25.1137            1373.24
           0        tcp     5     0         26.1157            1373.24
           0        tcp     5     0         27.1189             1379.6
           0        tcp     5     0         28.1209            1373.24
           0        tcp     5     0         29.1229            1373.24
           0        tcp     5     0         30.1249            1373.24
           0        tcp     5     0         31.1325            1373.62
           0        tcp     5     0         32.1356            1379.59
           0        tcp     5     0         33.1377            1373.24
           0        tcp     5     0         34.1397            1373.24
           0        tcp     5     0         35.1417            1373.24
           0        tcp     5     0         36.1449            1379.59
           0        tcp     5     0         37.1469            1373.24
           0        tcp     5     0         38.1489            1373.24
           0        tcp     5     0         39.1509            1373.24
           0        tcp     5     0         40.1541             1379.6
           0        tcp     5     0         41.1561            1373.24
           0        tcp     5     0         42.1581            1373.24
           0        tcp     5     0         43.1601            1373.24
           0        tcp     5     0         44.1677            1373.62
           0        tcp     5     0         45.1708            1379.59
           0        tcp     5     0         46.1729            1373.24
           0        tcp     5     0         47.1749            1373.24
           0        tcp     5     0         48.1769            1373.24
           0        tcp     5     0         49.1801            1379.59
           0        tcp     5     0         50.1821            1373.24
           0        tcp     5     0         51.1841            1373.24
           0        tcp     5     0         52.1861            1373.24
           0        tcp     5     0         53.1893             1379.6
           0        tcp     5     0         54.1913            1373.24
           0        tcp     5     0         55.1933            1373.24
           0        tcp     5     0         56.1953            1373.24
           0        tcp     5     0         57.2029            1373.62
           0        tcp     5     0          58.206            1379.59
           0        tcp     5     0         59.2081            1373.24


