#       flow   flowType   src   dst            time         throughput

           0        tcp     5     0        0.174389            49.6026
           0        tcp     5     0        0.294335            133.393
           0        tcp     5     0        0.414282            266.784
           0        tcp     5     0        0.534228            533.573
           0        tcp     5     0        0.654174            1067.15
           0        tcp     5     0        0.757342            2403.85
           0        tcp     5     0        0.860649            2090.86
           0        tcp     5     0        0.963817            2403.85
           0        tcp     5     0         1.06699            2403.85
           0        tcp     5     0         1.17015            2403.85
           0        tcp     5     0         1.27332            2403.85
           0        tcp     5     0         1.37649            2403.85
           0        tcp     5     0         1.47966            2403.85
           0        tcp     5     0         1.58282            2403.85
           0        tcp     5     0         1.68599            2403.85
           0        tcp     5     0         1.78916            2403.85
           0        tcp     5     0         1.89233            2403.85
           0        tcp     5     0          1.9955            2403.85
           0        tcp     5     0         2.09867            2403.85
           0        tcp     5     0         2.20183            2403.85
           0        tcp     5     0           2.305            2403.85
           0        tcp     5     0         2.40817            2403.85
           0        tcp     5     0         2.51134            2403.85
           0        tcp     5     0          2.6145            2403.85
           0        tcp     5     0         2.71767            2403.85
           0        tcp     5     0         2.82084            2403.85
           0        tcp     5     0         2.92401            2403.85
           0        tcp     5     0         3.02718            2403.85
           0        tcp     5     0         3.13035            2403.85
           0        tcp     5     0         3.23351            2403.85
           0        tcp     5     0         3.33668            2403.85
           0        tcp     5     0         3.43985            2403.85
           0        tcp     5     0         3.54302            2403.85
           0        tcp     5     0         3.64619            2403.85
           0        tcp     5     0         3.74935            2403.85
           0        tcp     5     0         3.85252            2403.85
           0        tcp     5     0         3.95569            2403.85
           0        tcp     5     0         4.05886            2403.85
           0        tcp     5     0         4.16202            2403.85
           0        tcp     5     0         4.26519            2403.85
           0        tcp     5     0         4.36836            2403.85
           0        tcp     5     0         4.47153            2403.85
           0        tcp     5     0          4.5747            2403.85
           0        tcp     5     0         4.67786            2403.85
           0        tcp     5     0         4.78103            2403.85
           0        tcp     5     0          4.8842            2403.85
           0        tcp     5     0         4.98737            2403.85
           0        tcp     5     0         5.09054            2403.85
           0        tcp     5     0          5.1937            2403.85
           0        tcp     5     0         5.29687            2403.85
           0        tcp     5     0         5.40004            2403.85
           0        tcp     5     0         5.50321            2403.85
           0        tcp     5     0         5.60638            2403.85
           0        tcp     5     0         5.70955            2403.85
           0        tcp     5     0         5.81271            2403.85
           0        tcp     5     0         5.91588            2403.85
           0        tcp     5     0         6.01905            2403.85
           0        tcp     5     0         6.12222            2403.85
           0        tcp     5     0         6.22539            2403.85
           0        tcp     5     0         6.32855            2403.85
           0        tcp     5     0         6.43172            2403.85
           0        tcp     5     0         6.53489            2403.85
           0        tcp     5     0         6.63806            2403.85
           0        tcp     5     0         6.74123            2403.85
           0        tcp     5     0         6.84439            2403.85
           0        tcp     5     0         6.94756            2403.85
           0        tcp     5     0         7.05073            2403.85
           0        tcp     5     0          7.1539            2403.85
           0        tcp     5     0         7.25706            2403.85
           0        tcp     5     0         7.36023            2403.85
           0        tcp     5     0          7.4634            2403.85
           0        tcp     5     0         7.56657            2403.85
           0        tcp     5     0         7.66974            2403.85
           0        tcp     5     0          7.7729            2403.85
           0        tcp     5     0         7.87607            2403.85
           0        tcp     5     0         7.97924            2403.85
           0        tcp     5     0         8.08241            2403.85
           0        tcp     5     0         8.18558            2403.85
           0        tcp     5     0         8.28875            2403.85
           0        tcp     5     0         8.39191            2403.85
           0        tcp     5     0         8.49508            2403.85
           0        tcp     5     0         8.59825            2403.85
           0        tcp     5     0         8.70142            2403.85
           0        tcp     5     0         8.80458            2403.85
           0        tcp     5     0         8.90775            2403.85
           0        tcp     5     0         9.01092            2403.85
           0        tcp     5     0         9.11409            2403.85
           0        tcp     5     0         9.21726            2403.85
           0        tcp     5     0         9.32043            2403.85
           0        tcp     5     0         9.42359            2403.85
           0        tcp     5     0         9.52676            2403.85
           0        tcp     5     0         9.62993            2403.85
           0        tcp     5     0          9.7331            2403.85
           0        tcp     5     0         9.83626            2403.85
           0        tcp     5     0         9.93943            2403.85
           0        tcp     5     0         10.0426            2403.85
           0        tcp     5     0         10.1458            2403.85
           0        tcp     5     0         10.2489            2403.85
           0        tcp     5     0         10.3521            2403.85
           0        tcp     5     0         10.4553            2403.85
           0        tcp     5     0         10.5584            2403.85
           0        tcp     5     0         10.6616            2403.85
           0        tcp     5     0         10.7648            2403.85
           0        tcp     5     0         10.8679            2403.85
           0        tcp     5     0         10.9711            2403.85
           0        tcp     5     0         11.0743            2403.85
           0        tcp     5     0         11.1774            2403.85
           0        tcp     5     0         11.2806            2403.85
           0        tcp     5     0         11.3838            2403.85
           0        tcp     5     0          11.487            2403.85
           0        tcp     5     0         11.5901            2403.85
           0        tcp     5     0         11.6933            2403.85
           0        tcp     5     0         11.7965            2403.85
           0        tcp     5     0         11.8996            2403.85
           0        tcp     5     0         12.0028            2403.85
           0        tcp     5     0          12.106            2403.85
           0        tcp     5     0         12.2091            2403.85
           0        tcp     5     0         12.3123            2403.85
           0        tcp     5     0         12.4155            2403.85
           0        tcp     5     0         12.5186            2403.85
           0        tcp     5     0         12.6218            2403.85
           0        tcp     5     0          12.725            2403.85
           0        tcp     5     0         12.8281            2403.85
           0        tcp     5     0         12.9313            2403.85
           0        tcp     5     0         13.0345            2403.85
           0        tcp     5     0         13.1376            2403.85
           0        tcp     5     0         13.2408            2403.85
           0        tcp     5     0          13.344            2403.85
           0        tcp     5     0         13.4471            2403.85
           0        tcp     5     0         13.5503            2403.85
           0        tcp     5     0         13.6535            2403.85
           0        tcp     5     0         13.7566            2403.85
           0        tcp     5     0         13.8598            2403.85
           0        tcp     5     0          13.963            2403.85
           0        tcp     5     0         14.0662            2403.85
           0        tcp     5     0         14.1693            2403.85
           0        tcp     5     0         14.2725            2403.85
           0        tcp     5     0         14.3757            2403.85
           0        tcp     5     0         14.4788            2403.85
           0        tcp     5     0          14.582            2403.85
           0        tcp     5     0         14.6852            2403.85
