#       flow   flowType   src   dst            time         throughput

           1        tcp     5     0         1.01374            1079.32
           1        tcp     5     0         2.01546            2403.85
           1        tcp     5     0         3.01719            2403.85
           1        tcp     5     0         4.01892            2403.85
           1        tcp     5     0         5.02065            2403.85
           1        tcp     5     0         6.02238            2403.85
           1        tcp     5     0          7.0241            2403.85
           1        tcp     5     0         8.02583            2403.85
           1        tcp     5     0         9.02756            2403.85
           1        tcp     5     0         10.0293            2403.85
           1        tcp     5     0          11.031            2403.85
           1        tcp     5     0         12.0327            2403.85
           1        tcp     5     0         13.0345            2403.85
           1        tcp     5     0         14.0362            2403.85
           1        tcp     5     0         15.0379            2403.85
           1        tcp     5     0         16.0397            2403.85
           1        tcp     5     0         17.0414            2403.85
           1        tcp     5     0         18.0431            2403.85
           1        tcp     5     0         19.0448            2403.85
           1        tcp     5     0         20.0466            2403.85
           1        tcp     5     0         21.0483            2403.85
           1        tcp     5     0           22.05            2403.85
           1        tcp     5     0         23.0518            2403.85
           1        tcp     5     0         24.0535            2403.85
           1        tcp     5     0         25.0549            2380.74
           1        tcp     5     0         26.1481            321.968
           1        tcp     5     0         27.1723            523.338
           1        tcp     5     0         28.1747            1284.94
           1        tcp     5     0         29.1747            1199.98
           1        tcp     5     0         30.1771            1221.09
           1        tcp     5     0         31.1807            1283.42
           1        tcp     5     0         32.1842            1339.22
           1        tcp     5     0         33.1843            1199.98
           1        tcp     5     0         34.1855            1206.55
           1        tcp     5     0          35.189            1267.48
           1        tcp     5     0         36.1926             1315.3
           1        tcp     5     0         37.1938            1254.49
           1        tcp     5     0         38.1938            1199.98
           1        tcp     5     0         39.2073            1223.51
           1        tcp     5     0          40.222            1285.16
           1        tcp     5     0         41.2255            1339.22
           1        tcp     5     0         42.2255            1199.98
           1        tcp     5     0         43.2267            1206.55
           1        tcp     5     0         44.2303            1267.48
           1        tcp     5     0         45.2578            1245.79
           1        tcp     5     0         46.3505            248.915
           1        tcp     5     0         47.3697             345.38
           1        tcp     5     0         48.3789             546.98
           1        tcp     5     0          49.384            573.073
           1        tcp     5     0          50.386            1061.79
           1        tcp     5     0         51.3871            935.014
           1        tcp     5     0         52.4472            415.042
           1        tcp     5     0         53.4498            263.315
           1        tcp     5     0         54.4574             524.01
           1        tcp     5     0         55.4799             453.83
           1        tcp     5     0         56.4907            300.733
           1        tcp     5     0         57.4917            479.522
           1        tcp     5     0         58.4969            501.393
           1        tcp     5     0          59.497            647.932
           1        tcp     5     0         60.4972            839.813
           1        tcp     5     0         61.5606            534.146
           1        tcp     5     0         62.5657            405.954
           1        tcp     5     0         63.5679            526.818
           1        tcp     5     0         64.5732            565.008
           1        tcp     5     0         65.5765            757.487
           1        tcp     5     0         66.6082            442.005
           1        tcp     5     0         67.6142            349.905
           1        tcp     5     0          68.617            574.392
           1        tcp     5     0          69.621            565.731
           1        tcp     5     0         70.6952            722.415
           1        tcp     5     0         71.7218            296.103
           1        tcp     5     0         72.7242            446.935
           1        tcp     5     0         73.7263            558.811
           1        tcp     5     0         74.7296            869.136
           1        tcp     5     0         75.7514            266.207
           1        tcp     5     0         76.7582            381.421
           1        tcp     5     0         77.7668            571.075
           1        tcp     5     0         78.7725            684.063
           1        tcp     5     0         79.8367            541.267
           1        tcp     5     0         80.8402            342.803
           1        tcp     5     0         81.8472            532.253
           1        tcp     5     0          82.856            555.124
           1        tcp     5     0         84.0452            726.533
           1        tcp     5     0         85.0719            296.103
           1        tcp     5     0         86.0743            446.935
           1        tcp     5     0         87.0764            558.811
           1        tcp     5     0         88.0797            869.136
           1        tcp     5     0         89.1015            266.208
           1        tcp     5     0         90.1082            381.421
           1        tcp     5     0         91.1168            571.075
           1        tcp     5     0         92.1226            684.064
           1        tcp     5     0         93.1868            541.267
           1        tcp     5     0         94.1903            342.803
           1        tcp     5     0         95.1973            532.253
           1        tcp     5     0         96.2061            555.124
           1        tcp     5     0         97.3953            726.533
           1        tcp     5     0          98.422            296.103
           1        tcp     5     0         99.4244            446.935


